"brand","shop","@lat","@lon"
"Дикси","supermarket","55.8180705","37.4000956"
"IKEA","furniture","55.6541054","37.8473649"
"Дикси","supermarket","55.8075519","37.5598068"
"Пятёрочка","supermarket","55.7439305","37.8752268"
"Billa","supermarket","55.6777233","37.2810506"
"Пятёрочка","supermarket","55.6254952","37.7161916"
"Магнит","supermarket","55.7432110","37.8792449"
"Смешные цены","clothes","55.8034256","37.7256700"
"TERVOLINA","shoes","55.7986178","37.7277676"
"Пятёрочка","supermarket","55.7983608","37.7262648"
"Перекресток","supermarket","55.6070435","37.5365007"
"Дикси","supermarket","55.6314727","37.4787179"
"Пятёрочка","supermarket","55.5916124","37.5985941"
"Пятёрочка","supermarket","55.6137961","37.4941493"
"Пятёрочка","supermarket","55.6063387","37.7419518"
"Пятёрочка","supermarket","55.6050979","37.7489531"
"Пятёрочка","supermarket","55.6493727","37.6061813"
"Перекресток","supermarket","55.6522373","37.6111664"
"Пятёрочка","supermarket","55.5966684","37.6634424"
"Перекресток","supermarket","55.7453228","37.8179302"
"Дикси","supermarket","55.8922843","37.7244940"
"Перекресток","supermarket","55.6589561","37.4027403"
"Атак","supermarket","55.8943234","37.4495710"
"Дикси","supermarket","55.6537776","37.5989284"
"Пятёрочка","supermarket","55.8235174","37.8076079"
"Пятёрочка","supermarket","55.8156003","37.7974934"
"Пятёрочка","supermarket","55.8084200","37.7980868"
"Пятёрочка","supermarket","55.6414523","37.5236039"
"Дикси","supermarket","55.6452716","37.5255459"
"Виктория","supermarket","55.6189658","37.5066885"
"Пятёрочка","supermarket","55.6481871","37.4075355"
"Дикси","supermarket","55.6361973","37.5113429"
"Пятёрочка","supermarket","55.7475354","37.8066746"
"Пятёрочка","supermarket","55.8499100","37.4244894"
"Дикси","supermarket","55.8502840","37.4276975"
"Перекрёсток","supermarket","55.8551258","37.4778037"
"Перекрёсток","supermarket","55.8815664","37.4889103"
"Billa","supermarket","55.8938054","37.5254484"
"Перекресток","supermarket","55.8898544","37.5372816"
"Магнолия","supermarket","55.8556178","37.4705350"
"Пятёрочка","supermarket","55.8674251","37.4892615"
"Пятёрочка","supermarket","55.8662457","37.4925895"
"Пятёрочка","supermarket","55.8054724","37.4627847"
"Billa","supermarket","55.7841610","37.4569741"
"Перекресток","supermarket","55.8054955","37.4141906"
"Пятёрочка","supermarket","55.8000355","37.4074419"
"Магнолия","supermarket","55.8088028","37.4935390"
"Дикси","supermarket","55.8201932","37.7975131"
"Пятёрочка","supermarket","55.6516601","37.3976096"
"Дикси","supermarket","55.6965499","37.9016455"
"Дикси","supermarket","55.8784063","37.6308147"
"Billa","supermarket","55.8747634","37.6212013"
"Пятёрочка","supermarket","55.8754832","37.6212682"
"Пятёрочка","supermarket","55.8639725","37.4700807"
"Renault","car","55.8416776","37.4355851"
"Перекресток","supermarket","55.8461862","37.3577800"
"Пятёрочка","supermarket","55.6570578","37.4066882"
"Пятёрочка","supermarket","55.6450640","37.3983110"
"Пятёрочка","supermarket","55.8722214","37.6496841"
"Перекрёсток","supermarket","55.8772079","37.6518710"
"Дикси","supermarket","55.8621076","37.6677882"
"Перекрёсток","supermarket","55.7439280","37.8744640"
"Перекресток","supermarket","55.8358804","37.3863216"
"Пятёрочка","supermarket","55.6831778","37.8933925"
"Eurospar","supermarket","55.7277797","37.6368336"
"ВкусВилл","convenience","55.6394117","37.6937522"
"Пятёрочка","supermarket","55.6383073","37.6963692"
"Пятёрочка","supermarket","55.8345121","37.4506940"
